,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
12,2021.0,10.0,13.0,9.6,16.1,12.9,11.4,17.0
13,2021.0,10.0,14.0,1.4,9.9,9.4,9.4,20.0
14,2021.0,10.0,15.0,0.1,18.7,9.4,14.2,13.0
15,2021.0,10.0,16.0,2.0,19.0,11.2,11.2,24.0
16,2021.0,10.0,17.0,7.5,22.0,13.6,13.6,24.0
17,2021.0,10.0,18.0,9.3,25.4,15.7,15.8,21.0
18,2021.0,10.0,19.0,7.0,31.0,19.1,19.1,24.0
19,2021.0,10.0,20.0,7.3,16.8,12.4,12.2,23.0
20,2021.0,10.0,21.0,8.2,22.8,14.3,14.3,23.0
21,2021.0,10.0,22.0,0.2,19.3,12.1,10.9,20.0
22,2021.0,10.0,23.0,3.5,21.0,11.7,11.7,24.0
23,2021.0,10.0,24.0,5.4,26.3,15.1,15.5,23.0
24,2021.0,10.0,25.0,6.0,24.2,16.6,16.3,23.0
25,2021.0,10.0,26.0,10.1,26.8,17.2,17.3,23.0
26,2021.0,10.0,27.0,8.7,26.8,17.2,17.2,24.0
27,2021.0,10.0,28.0,9.8,27.2,16.8,16.7,22.0
28,2021.0,10.0,29.0,7.2,24.1,16.3,16.2,23.0
29,2021.0,10.0,30.0,10.5,25.2,16.9,16.9,24.0
30,2021.0,10.0,31.0,8.4,29.5,17.5,17.5,24.0
0,2021.0,12.0,1.0,7.5,24.8,16.2,16.2,24.0
1,2021.0,12.0,2.0,11.0,19.7,14.9,14.9,24.0
2,2021.0,12.0,3.0,10.3,27.3,17.9,17.9,24.0
3,2021.0,12.0,4.0,11.6,32.4,20.9,20.9,24.0
4,2021.0,12.0,5.0,15.7,37.8,25.2,24.8,23.0
5,2021.0,12.0,6.0,16.0,30.5,23.3,23.5,22.0
6,2021.0,12.0,7.0,9.2,25.2,16.4,16.1,22.0
7,2021.0,12.0,8.0,12.2,33.6,20.2,21.1,23.0
8,2021.0,12.0,9.0,18.4,36.8,27.6,26.7,23.0
9,2021.0,12.0,10.0,10.7,31.0,21.8,21.2,23.0
10,2021.0,12.0,11.0,12.0,22.4,16.2,16.2,24.0
11,2021.0,12.0,12.0,6.0,24.3,15.3,15.3,24.0
12,2021.0,12.0,13.0,7.5,26.3,16.2,16.2,24.0
13,2021.0,12.0,14.0,9.4,29.3,19.3,19.0,20.0
14,2021.0,12.0,15.0,8.4,32.2,20.0,20.0,24.0
15,2021.0,12.0,16.0,7.8,33.2,21.8,21.8,24.0
16,2021.0,12.0,17.0,8.3,28.0,17.9,17.9,24.0
17,2021.0,12.0,18.0,11.0,32.8,21.5,21.5,24.0
18,2021.0,12.0,19.0,11.5,33.2,22.6,22.6,24.0
19,2021.0,12.0,20.0,14.5,34.1,23.8,23.7,23.0
20,2021.0,12.0,21.0,11.6,32.5,21.7,21.7,24.0
21,2021.0,12.0,22.0,15.2,38.2,24.9,24.9,24.0
22,2021.0,12.0,23.0,14.4,30.2,22.3,19.8,23.0
23,2021.0,12.0,24.0,10.0,32.0,20.8,20.8,24.0
24,2021.0,12.0,25.0,16.2,33.7,23.8,23.8,24.0
25,2021.0,12.0,26.0,16.9,34.5,24.6,24.6,24.0
26,2021.0,12.0,27.0,16.8,34.0,24.9,24.9,24.0
27,2021.0,12.0,28.0,14.0,34.8,24.6,24.6,24.0
28,2021.0,12.0,29.0,9.6,21.4,16.3,15.9,23.0
29,2021.0,12.0,30.0,6.7,27.5,17.2,17.2,24.0
30,2021.0,12.0,31.0,9.5,28.2,18.2,18.2,24.0
0,2022.0,1.0,1.0,5.4,25.3,15.0,15.0,24.0
1,2022.0,1.0,2.0,14.0,21.9,17.2,17.2,24.0
2,2022.0,1.0,3.0,12.5,25.5,18.7,18.7,24.0
3,2022.0,1.0,4.0,13.3,27.6,19.4,19.4,24.0
4,2022.0,1.0,5.0,11.2,32.3,21.3,21.3,24.0
5,2022.0,1.0,6.0,11.9,34.0,22.6,22.6,22.0
6,2022.0,1.0,7.0,16.4,35.2,24.6,24.6,24.0
7,2022.0,1.0,8.0,15.1,33.8,23.3,23.3,24.0
8,2022.0,1.0,9.0,14.1,29.4,20.2,20.2,24.0
9,2022.0,1.0,10.0,12.6,34.4,22.6,22.6,24.0
10,2022.0,1.0,11.0,14.2,37.4,25.5,25.5,24.0
11,2022.0,1.0,12.0,10.0,36.0,23.0,24.9,20.0
12,2022.0,1.0,13.0,10.1,29.7,19.6,19.6,24.0
13,2022.0,1.0,14.0,7.6,33.4,20.0,20.0,24.0
14,2022.0,1.0,15.0,16.2,29.6,22.2,22.2,24.0
15,2022.0,1.0,16.0,9.3,26.4,17.5,17.5,24.0
16,2022.0,1.0,17.0,4.3,23.0,14.5,14.5,24.0
17,2022.0,1.0,18.0,8.3,25.8,15.9,15.9,24.0
18,2022.0,1.0,19.0,3.1,28.9,17.5,16.8,23.0
19,2022.0,1.0,20.0,5.5,28.2,18.1,18.1,24.0
20,2022.0,1.0,21.0,6.2,30.5,18.3,17.8,19.0
21,2022.0,1.0,22.0,10.2,24.1,16.4,16.8,23.0
22,2022.0,1.0,23.0,3.8,29.1,17.4,17.4,24.0
23,2022.0,1.0,24.0,13.2,30.8,21.1,21.1,24.0
24,2022.0,1.0,25.0,13.0,34.2,22.6,22.6,24.0
25,2022.0,1.0,26.0,11.5,23.2,24.5,23.7,22.0
26,2022.0,1.0,27.0,9.9,26.3,18.1,30.8,10.0
27,2022.0,1.0,28.0,12.5,24.4,18.4,19.8,13.0
28,2022.0,1.0,29.0,14.0,22.9,18.4,16.2,19.0
29,2022.0,1.0,30.0,8.7,28.8,18.7,18.8,20.0
30,2022.0,1.0,31.0,11.4,30.2,19.2,19.8,21.0
0,2022.0,7.0,1.0,2.8,14.5,8.6,9.3,23.0
1,2022.0,7.0,2.0,-0.8,11.0,4.0,4.0,24.0
2,2022.0,7.0,3.0,-0.1,7.4,3.9,3.9,24.0
3,2022.0,7.0,4.0,3.9,12.7,7.6,7.6,24.0
4,2022.0,7.0,5.0,7.3,9.9,8.4,8.4,24.0
5,2022.0,7.0,6.0,2.3,11.9,8.2,8.2,24.0
6,2022.0,7.0,7.0,-0.7,12.8,4.3,4.3,24.0
7,2022.0,7.0,8.0,-1.8,12.0,3.8,3.8,24.0
8,2022.0,7.0,9.0,6.9,10.5,9.3,9.3,24.0
9,2022.0,7.0,10.0,2.5,12.4,6.7,6.7,24.0
